URL,Titulo,Enlace,Copete,Seccion
https://www.eltribuno.com/salta,"
Un hombre fue condenado a cinco años y medio de prisión por abusar de dos niñas 
",https://www.eltribuno.com//salta/nota/2023-5-10-20-27-0-un-hombre-fue-condenado-a-cinco-anos-y-medio-de-prision-por-abusar-de-dos-ninas,"10 DE Mayo 2023 - 20:39
                                El penado fue denunciado por los padres de dos niñas de 11 años, primas entre sí. Los progenitores tomaron conocimiento de que el sentenciado las sometía a tocamientos, cuando una de ellas se animó a hablar.",policiales
https://www.eltribuno.com/salta,"
¿Cómo es el feriado XL del 25 de mayo?
",https://www.eltribuno.com//salta/nota/2023-5-10-17-8-0-como-es-el-feriado-xl-del-25-de-mayo,"10 DE Mayo 2023 - 17:25
                                Decretaron jornada no laborable el viernes 26, por lo que se arma un fin de semana largo de cuatro días. Quiénes pueden disfrutarlo.",Nacionales
https://www.eltribuno.com/salta,"
Juan Carlos Romero: ""El caso de Tucumán y San Juan es muy grave""
",https://www.eltribuno.com//salta/nota/2023-5-10-17-46-0-juan-carlos-romero-el-caso-de-tucuman-y-san-juan-es-muy-grave,"10 DE Mayo 2023 - 18:02
                                El senador por Salta respaldó la decisión de la Corte Suprema de suspender las elecciones en esas provincias. ""El gobierno kirchnerista niega los hechos, no respeta la ley ni los fallos judiciales. Eso es vivir en la anarquía"", opinó.",elecciones 2023
https://www.eltribuno.com/salta,"
El Registro Civil incrementa su trabajo para entregas de DNI hasta el domingo
",https://www.eltribuno.com//salta/nota/2023-5-10-18-8-0-el-registro-civil-incrementa-su-trabajo-para-entregas-de-dni-hasta-el-domingo,"10 DE Mayo 2023 - 19:19
                                Actualmente en la sede central se encuentran alrededor de 1500 ejemplares de mayores y 1300 de menores que esperan su retiro, se enviaron a las oficinas del interior alrededor de 500 ejemplares.",elecciones 2023
https://www.eltribuno.com/salta,"
A poco más de tres años del brutal crimen, mañana comienza el juicio por la muerte de Rosa Sulca
",https://www.eltribuno.com//salta/nota/2023-5-10-14-15-0-a-poco-mas-de-tres-anos-del-brutal-crimen-manana-comienza-el-juicio-por-la-muerte-de-rosa-sulca,"10 DE Mayo 2023 - 14:33
                                El violento crimen ocurrió el 28 de abril de 2020. La víctima era maestra, fue golpeada y apuñalada con un cuchillo en su propia casa. La mujer llamó al Sistema de Emergencia 911 para pedir ayuda, pero la inacción terminó por sentenciar su muerte.",policiales
https://www.eltribuno.com/salta,"
Luis Miguel recordó a su madre con una emotiva foto
",https://www.eltribuno.com//salta/nota/2023-5-10-19-51-0-luis-miguel-recordo-a-su-madre-con-una-emotiva-foto,"10 DE Mayo 2023 - 20:09
                                El cantante publicó una imagen junto con Marcela Basteri para homenajearla en el Día de las Madres que se celebró en México.",Espectáculos
https://www.eltribuno.com/salta,"
Jorgelina Juárez: ""Necesitamos erradicar el crimen organizado y que Orán vuelva a ser un lugar seguro”
",https://www.eltribuno.com//salta/nota/2023-5-10-18-56-0-jorgelina-juarez-necesitamos-erradicar-el-crimen-organizado-y-que-oran-vuelva-a-ser-un-lugar-seguro,"10 DE Mayo 2023 - 19:07
                                La legisladora busca la reeleción como diputada por Orán.",elecciones 2023
https://www.eltribuno.com/salta,"
VIDEO. Cuenta regresiva para la guerra entre Durval y Matheus por el título latino
",https://www.eltribuno.com//salta/nota/2023-5-9-23-12-0-cuenta-regresiva-para-la-guerra-entre-durval-y-matheus-por-el-titulo-latino,"10 DE Mayo 2023 - 22:02
                                Salta comienza a palpitar la pelea entre el salteño y el brasileño que se llevará a cabo el 26 de mayo en el Delmi.",Boxeo
https://www.eltribuno.com/salta,"
Rodríguez Larreta, duro contra Alberto Fernández: ""Los argentinos somos rehenes de su incapacidad de gobernar""
",https://www.eltribuno.com//salta/nota/2023-5-10-17-24-0-rodriguez-larreta-duro-contra-alberto-fernandez-los-argentinos-somos-rehenes-de-su-incapacidad-de-gobernar,"10 DE Mayo 2023 - 17:41
                                El jefe de Gobierno porteño rechazó el discurso que brindó el Presidente en cadena nacional para cuestionar las cautelares de la Corte Suprema que suspendieron las elecciones en San Juan y Tucumán.",elecciones 2023
https://www.eltribuno.com/salta,"
VIDEO. Alberto Fernández: ""La suspensión de las elecciones deja a la democracia como rehén de un grupo de jueces""   
",https://www.eltribuno.com//salta/nota/2023-5-10-12-7-0-alberto-fernandez-la-corte-suprema-ha-dejado-en-evidencia-su-caracter-antidemocratico,"10 DE Mayo 2023 - 14:10
                                El Presidente cuestionó al máximo tribunal por la suspensión de las elecciones en San Juan y Tucumán; “Adecúa sus decisiones a las necesidades políticas de la oposición”, señaló",elecciones 2023
https://www.eltribuno.com/salta,"
Gustavo Sáenz recorrió obras de ampliación en los hospitales San Bernardo y Ragone
",https://www.eltribuno.com//salta/nota/2023-5-10-15-12-0-gustavo-saenz-recorrio-obras-de-ampliacion-en-los-hospitales-san-bernardo-y-ragone,"10 DE Mayo 2023 - 15:37
                                En el San Bernardo, son 11 mil m2 cubiertos con una inversión de $2.218 millones. En tanto, el gerente del hospital Ragone expresó “nunca antes ningún gobernador se había ocupado de esta institución”.",Salta
https://www.eltribuno.com/salta,"
Rechazaron las recusaciones de Cristina Kirchner en la Causa Vialidad
",https://www.eltribuno.com//salta/nota/2023-5-10-17-12-0-rechazaron-las-recusaciones-de-cristina-kirchner-en-la-causa-vialidad,"10 DE Mayo 2023 - 17:13
                                Los magistrados Hornos y Borinsky consideraron que lo expuesto por la defensa ""no puede erigirse como causal para el apartamiento del juez, ya que no constituye per se prejuzgamiento”.",Nacionales
https://www.eltribuno.com/salta,"
Habilitaron la circulación vehicular y peatonal en el nuevo puente sobre el río Arenales
",https://www.eltribuno.com//salta/nota/2023-5-10-12-44-0-habilitaron-la-circulacion-vehicular-y-peatonal-en-el-nuevo-puente-sobre-el-rio-arenales,"10 DE Mayo 2023 - 14:05
                                La obra conecta de manera eficiente y rápida áreas de escala metropolitana y urbana de la ciudad y genera vías alternativas para disminuir la congestión vehicular de avenida Paraguay.",Salta
https://www.eltribuno.com/salta,"
Murió el intendente de Parque Nacional los Cardones tras despeñarse en el Nevado de Cachi
",https://www.eltribuno.com//salta/nota/2023-5-10-11-10-0-fallecio-un-guardaparques-tras-despenarse-en-el-nevado-de-cachi,"10 DE Mayo 2023 - 14:03
                                Se trata de Lucas Bustos. Según trascendió, se encontraba acompañado de otras dos personas cuyo estado de salud se desconoce por el momento. Un grupo de rescatistas se traslada hacia el lugar.",Salta
